Date,cash,open_value,equity_curve,buy_and_hold_value,rolling_max,drawdown_pct
2020-03-03,10000.0,0.0,10000.0,10000.0,10000.0,0.0
2020-03-04,10000.0,0.0,10000.0,10700.289391314129,10000.0,0.0
2020-03-05,10000.0,0.0,10000.0,10278.310486134655,10000.0,0.0
2020-03-06,10000.0,0.0,10000.0,10005.641200967497,10000.0,0.0
2020-03-09,10000.0,0.0,10000.0,9230.884944033462,10000.0,0.0
2020-03-10,10000.0,0.0,10000.0,9819.097789472733,10000.0,0.0
2020-03-11,10000.0,0.0,10000.0,9269.622290605923,10000.0,0.0
2020-03-12,10000.0,0.0,10000.0,8135.319097287332,10000.0,0.0
2020-03-13,10000.0,0.0,10000.0,9057.880701798686,10000.0,0.0
2020-03-16,10000.0,0.0,10000.0,7386.512795210775,10000.0,0.0
2020-03-17,10000.0,0.0,10000.0,8171.423787762295,10000.0,0.0
2020-03-18,10000.0,0.0,10000.0,7627.966095980472,10000.0,0.0
2020-03-19,10000.0,0.0,10000.0,8009.703382152486,10000.0,0.0
2020-03-20,10000.0,0.0,10000.0,7738.162480647826,10000.0,0.0
2020-03-23,10000.0,0.0,10000.0,7999.172040417512,10000.0,0.0
2020-03-24,10000.0,0.0,10000.0,9371.544100863297,10000.0,0.0
2020-03-25,10000.0,0.0,10000.0,9237.654528663455,10000.0,0.0
2020-03-26,10000.0,0.0,10000.0,9674.677592882905,10000.0,0.0
2020-03-27,10000.0,0.0,10000.0,9505.058501635618,10000.0,0.0
2020-03-30,10000.0,0.0,10000.0,9988.71688072002,10000.0,0.0
2020-03-31,10000.0,0.0,10000.0,9913.874126327608,10000.0,0.0
2020-04-01,10000.0,0.0,10000.0,9141.749808146084,10000.0,0.0
2020-04-02,9999.5084670043,937.8651971817017,10937.373664186001,9608.10869555549,10937.373664186001,0.0
2020-04-03,9999.5084670043,984.394202709198,10983.902669713498,9173.342398661032,10983.902669713498,0.0
2020-04-06,10881.819278919458,0.0,10881.819278919458,10094.399730737387,10983.902669713498,-0.9293908901388925
