fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,sweep_lookback,require_sweep,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,avg_mc_prob_profit_%,avg_mc_p05_return_%,avg_mc_median_max_dd_%,valid_ticker_count,score
14,84,14,1.0,1.0,2.0,3.0,100,0.015,5,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,84,14,1.0,1.0,2.0,3.0,100,0.015,10,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,84,14,1.0,1.0,2.0,3.0,100,0.015,20,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,42,14,0.8,1.0,2.0,3.0,100,0.015,20,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,42,14,0.8,1.0,2.0,3.0,100,0.015,5,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,42,14,0.8,1.0,2.0,3.0,100,0.015,10,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,84,14,1.0,1.0,2.5,3.0,150,0.015,10,False,94.4525,740.07,-28.625,10.5,47.665000000000006,187.1125,-121.7075,1.4949999999999999,1.3,22.007499999999997,52.4625,-6.945,-3.7625,3,76.47475
14,84,14,1.0,1.0,2.5,3.0,150,0.015,5,False,94.4525,740.07,-28.625,10.5,47.665000000000006,187.1125,-121.7075,1.4949999999999999,1.3,22.007499999999997,52.4625,-6.945,-3.7625,3,76.47475
14,84,14,1.0,1.0,2.5,3.0,150,0.015,20,False,94.4525,740.07,-28.625,10.5,47.665000000000006,187.1125,-121.7075,1.4949999999999999,1.3,22.007499999999997,52.4625,-6.945,-3.7625,3,76.47475
14,84,14,1.0,1.0,2.0,3.0,150,0.015,20,False,93.89,740.07,-29.927500000000002,10.5,47.665000000000006,176.83999999999997,-121.90750000000001,1.41,1.2225,17.049999999999997,50.224999999999994,-7.0625,-3.73,3,73.97874999999999
14,84,14,1.0,1.0,2.0,3.0,150,0.015,5,False,93.89,740.07,-29.927500000000002,10.5,47.665000000000006,176.83999999999997,-121.90750000000001,1.41,1.2225,17.049999999999997,50.224999999999994,-7.0625,-3.73,3,73.97874999999999
14,84,14,1.0,1.0,2.0,3.0,150,0.015,10,False,93.89,740.07,-29.927500000000002,10.5,47.665000000000006,176.83999999999997,-121.90750000000001,1.41,1.2225,17.049999999999997,50.224999999999994,-7.0625,-3.73,3,73.97874999999999
14,84,14,1.0,1.5,2.5,3.0,100,0.015,5,False,106.135,740.07,-27.537499999999998,11.0,38.05,266.52000000000004,-131.2825,1.965,1.15,15.93,48.72500000000001,-9.0125,-4.859999999999999,3,73.10775
14,84,14,1.0,1.5,2.5,3.0,100,0.015,20,False,106.135,740.07,-27.537499999999998,11.0,38.05,266.52000000000004,-131.2825,1.965,1.15,15.93,48.72500000000001,-9.0125,-4.859999999999999,3,73.10775
14,84,14,1.0,1.5,2.5,3.0,100,0.015,10,False,106.135,740.07,-27.537499999999998,11.0,38.05,266.52000000000004,-131.2825,1.965,1.15,15.93,48.72500000000001,-9.0125,-4.859999999999999,3,73.10775
14,84,14,1.0,1.5,2.0,3.0,100,0.015,10,False,105.7375,740.07,-29.197500000000005,11.0,38.05,254.1175,-131.8,1.86,1.1175,12.684999999999999,49.1125,-8.94,-4.81,3,71.83775
14,84,14,1.0,1.5,2.0,3.0,100,0.015,20,False,105.7375,740.07,-29.197500000000005,11.0,38.05,254.1175,-131.8,1.86,1.1175,12.684999999999999,49.1125,-8.94,-4.81,3,71.83775
14,84,14,1.0,1.5,2.0,3.0,100,0.015,5,False,105.7375,740.07,-29.197500000000005,11.0,38.05,254.1175,-131.8,1.86,1.1175,12.684999999999999,49.1125,-8.94,-4.81,3,71.83775
21,42,14,0.8,1.5,2.0,3.0,100,0.015,20,False,200.4275,784.2650000000001,-38.147499999999994,12.0,39.295,372.56500000000005,-143.20499999999998,2.4625,1.7625,25.817500000000003,62.625,-8.28,-6.17,4,71.43925
21,42,14,0.8,1.5,2.0,3.0,100,0.015,5,False,200.4275,784.2650000000001,-38.147499999999994,12.0,39.295,372.56500000000005,-143.20499999999998,2.4625,1.7625,25.817500000000003,62.625,-8.28,-6.17,4,71.43925
21,42,14,0.8,1.5,2.0,3.0,100,0.015,10,False,200.4275,784.2650000000001,-38.147499999999994,12.0,39.295,372.56500000000005,-143.20499999999998,2.4625,1.7625,25.817500000000003,62.625,-8.28,-6.17,4,71.43925
14,42,14,0.8,1.5,2.0,3.0,100,0.015,10,False,190.2075,784.2650000000001,-37.7575,11.25,41.12,302.7925,-148.2575,2.0700000000000003,1.715,34.765,62.875,-8.335,-5.5249999999999995,4,69.962
14,42,14,0.8,1.5,2.0,3.0,100,0.015,5,False,190.2075,784.2650000000001,-37.7575,11.25,41.12,302.7925,-148.2575,2.0700000000000003,1.715,34.765,62.875,-8.335,-5.5249999999999995,4,69.962
14,42,14,0.8,1.5,2.0,3.0,100,0.015,20,False,190.2075,784.2650000000001,-37.7575,11.25,41.12,302.7925,-148.2575,2.0700000000000003,1.715,34.765,62.875,-8.335,-5.5249999999999995,4,69.962
