fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,valid_ticker_count,score
42,84,14,1.0,1.0,2.5,3.0,200,0.025,14.1625,740.07,-14.43,2.5,62.5,104.95250000000001,-56.94,1.285,4.4425,71.97999999999999,1,114.92412499999999
42,84,14,1.0,1.0,2.5,4.0,200,0.025,14.167499999999999,740.07,-14.4425,2.5,62.5,100.3825,-56.94,1.185,4.425,69.48750000000001,1,114.32425
21,42,14,0.8,1.0,2.5,3.0,100,0.02,232.86749999999998,784.2650000000001,-29.122500000000002,10.75,52.9525,154.3725,-131.5025,1.1325,1.3725,22.692499999999995,4,114.15825000000001
42,84,14,1.0,1.5,2.5,3.0,100,0.025,19.205000000000002,740.07,-13.1425,3.5,64.5825,130.17000000000002,-85.405,1.2366666666666666,4.3125,50.4025,1,112.036625
42,84,14,1.0,1.5,2.5,4.0,100,0.025,19.2725,740.07,-15.1025,3.5,64.5825,122.00500000000001,-85.405,1.1133333333333333,4.3225,47.5475,1,111.67399999999998
42,84,14,1.0,1.0,2.0,3.0,100,0.025,19.09,740.07,-11.665,3.5,64.5825,120.79499999999999,-85.405,1.0633333333333335,4.205,48.5075,1,109.88999999999999
14,42,14,1.0,1.0,2.5,4.0,200,0.025,95.3375,784.2650000000001,-13.0875,5.25,68.4525,62.29750000000001,-92.4775,0.6,3.205,1.7975000000000003,2,109.84149999999998
14,42,14,1.0,1.0,2.5,3.0,200,0.025,95.25,784.2650000000001,-10.825,5.25,68.4525,60.815000000000005,-92.4775,0.5833333333333334,3.1775,0.8100000000000005,2,109.51025000000001
14,42,14,1.0,1.0,2.0,4.0,200,0.025,95.25,784.2650000000001,-13.0875,5.25,68.4525,60.8075,-92.4775,0.5833333333333334,3.1775,0.8025000000000011,2,109.17012500000001
14,42,14,1.0,1.0,2.0,3.0,200,0.025,95.16000000000001,784.2650000000001,-10.8325,5.25,68.4525,59.325,-92.4775,0.5666666666666667,3.1525,-0.1850000000000005,2,108.887125
42,84,14,1.0,1.0,2.0,4.0,100,0.025,19.157500000000002,740.07,-13.5275,3.5,64.5825,108.725,-85.405,0.8866666666666667,4.175,43.715,1,108.54825000000001
42,84,14,1.0,1.0,2.5,3.0,100,0.025,18.7275,740.07,-11.6825,3.5,64.5825,110.0525,-85.405,1.07,4.077500000000001,36.602500000000006,1,106.05625000000002
21,42,14,0.8,1.0,2.5,4.0,100,0.025,236.10999999999999,784.2650000000001,-19.1725,8.5,55.42999999999999,103.5,-140.63,0.7274999999999999,1.1824999999999999,1.6849999999999987,3,106.056125
21,42,14,0.8,1.0,2.5,3.0,100,0.025,235.23499999999999,784.2650000000001,-16.5475,8.5,55.42999999999999,100.895,-140.505,0.71,1.16,0.2724999999999991,3,105.63987499999999
14,84,14,1.0,1.0,2.5,3.0,200,0.015,180.7425,740.07,-28.6325,9.75,49.715,257.45,-148.52749999999997,1.4725000000000001,1.4825,51.2325,4,105.60699999999999
42,55,14,0.8,1.5,2.0,4.0,200,0.02,56.865,1029.6299999999999,-16.545,3.25,46.25,219.91249999999997,-92.60499999999999,1.4933333333333334,3.5949999999999998,71.185,1,105.00299999999999
21,42,14,0.8,1.0,2.0,4.0,100,0.025,234.325,784.2650000000001,-19.19,8.5,55.42999999999999,100.265,-139.83,0.7125,1.15,-0.14500000000000135,3,104.77425
42,84,14,1.0,1.0,2.5,4.0,100,0.025,18.755,740.07,-13.544999999999998,3.5,64.5825,97.9425,-85.405,0.8933333333333334,4.045,31.7725,1,104.65075
21,42,14,0.8,1.0,2.0,3.0,100,0.025,233.41,784.2650000000001,-19.19,8.5,55.42999999999999,97.6725,-139.6825,0.6925,1.1275,-1.5375000000000014,3,103.95625
42,55,14,0.8,1.5,2.0,3.0,200,0.02,56.755,1029.6299999999999,-16.5675,3.25,46.25,229.35750000000002,-92.60499999999999,1.593333333333333,3.545,69.20750000000001,1,103.774375
42,55,14,0.8,1.5,2.5,4.0,200,0.02,56.7375,1029.6299999999999,-17.9975,3.25,46.25,220.64,-92.60499999999999,1.4400000000000002,3.4775,71.02250000000001,1,102.387
14,84,14,1.0,1.0,2.0,3.0,200,0.015,179.74749999999997,740.07,-29.244999999999997,9.75,49.715,236.03749999999997,-147.975,1.355,1.37,41.225,4,102.015625
21,42,14,0.8,1.0,2.5,3.0,150,0.02,184.9575,784.2650000000001,-29.375,9.25,49.480000000000004,174.64,-130.2025,1.3175,1.375,22.775,4,101.506625
42,55,14,0.8,1.5,2.5,3.0,200,0.02,56.6525,1029.6299999999999,-17.9675,3.25,46.25,230.91500000000002,-92.60499999999999,1.55,3.435,69.54249999999999,1,101.37225
21,84,14,1.0,1.0,2.5,3.0,100,0.025,22.3775,740.07,-14.7525,3.75,75.0,82.13749999999999,-83.13250000000001,0.5933333333333334,3.67,41.0175,1,100.88325
14,84,14,1.0,1.0,2.5,3.0,200,0.02,176.7225,740.07,-26.932499999999997,7.25,51.785,226.0125,-148.2575,1.33,1.3575,24.972499999999997,4,100.145
14,84,14,1.0,1.0,2.5,3.0,100,0.025,48.9875,740.07,-13.4775,5.0,63.332499999999996,118.0575,-87.1525,1.2366666666666666,3.235,21.790000000000003,2,99.77075
21,42,14,1.0,1.0,2.5,3.0,100,0.015,162.18,784.2650000000001,-26.7375,12.25,53.572500000000005,152.64249999999998,-126.63000000000001,1.23,1.51,21.964999999999996,4,99.645375
14,84,14,1.0,1.0,2.0,3.0,100,0.025,48.955,740.07,-14.3125,5.0,63.332499999999996,121.67750000000001,-86.63,1.1600000000000001,3.1975,29.3425,2,99.64262500000001
14,84,14,1.0,1.0,2.5,3.0,200,0.025,49.23500000000001,740.07,-15.014999999999999,3.75,63.69,140.22,-92.57000000000001,1.0766666666666669,3.415,34.825,1,99.577
21,84,14,1.0,1.0,2.0,3.0,100,0.025,22.265000000000004,740.07,-14.7525,3.75,75.0,76.6225,-83.13250000000001,0.57,3.6175,35.985,1,99.30187500000001
14,84,14,1.0,1.0,2.5,4.0,200,0.02,176.3675,740.07,-27.97,7.25,51.785,210.5825,-147.72,1.2799999999999998,1.3525,19.857499999999998,4,99.289125
14,84,14,1.0,1.0,2.5,4.0,200,0.025,49.177499999999995,740.07,-17.1075,3.75,63.69,121.29499999999999,-92.57000000000001,0.9066666666666667,3.4125,29.785000000000004,1,98.69475
21,84,14,1.0,1.0,2.5,4.0,100,0.025,22.3125,740.07,-15.4325,3.75,75.0,78.575,-83.13250000000001,0.54,3.545,38.347500000000004,1,97.998
14,84,14,1.0,1.0,2.0,3.0,200,0.025,49.0075,740.07,-15.07,3.75,63.69,129.28,-92.57000000000001,1.0033333333333334,3.3575,28.105000000000004,1,97.68987500000001
14,84,14,1.0,1.0,2.5,4.0,100,0.025,49.085,740.07,-16.275,5.0,63.332499999999996,102.47999999999999,-87.2075,0.9966666666666667,3.1675,17.3675,2,97.58325
14,84,14,1.0,1.0,2.0,4.0,100,0.025,49.04,740.07,-16.2625,5.0,63.332499999999996,106.155,-87.2075,0.9199999999999999,3.1275,24.745,2,97.51162500000001
30,84,14,1.0,1.0,2.5,4.0,100,0.025,12.2825,740.07,-14.999999999999998,3.5,71.6675,72.72749999999999,-80.2325,0.45999999999999996,3.4425,31.465000000000003,2,97.150625
21,84,14,0.8,1.0,2.5,3.0,200,0.015,105.77250000000001,740.07,-29.775,8.25,46.875,257.34499999999997,-139.9225,1.7425000000000002,2.2575,53.962500000000006,3,96.898125
30,84,14,1.0,1.0,2.0,4.0,100,0.025,12.225,740.07,-14.999999999999998,3.5,71.6675,68.105,-78.51,0.4633333333333334,3.45,27.392500000000002,2,96.879
14,84,14,1.0,1.0,2.0,3.0,200,0.02,176.075,740.07,-28.3,7.25,51.785,205.68249999999998,-147.72,1.22,1.2550000000000001,16.3675,4,96.8675
14,84,14,1.0,1.0,2.0,4.0,200,0.025,49.002500000000005,740.07,-17.1475,3.75,63.69,110.4825,-92.57000000000001,0.8366666666666666,3.355,23.16,1,96.8325
14,42,14,0.8,1.0,2.5,3.0,100,0.025,159.495,784.2650000000001,-15.870000000000001,7.25,64.655,98.26,-121.2475,0.7925,1.4675,18.767500000000002,3,96.651
14,84,14,1.0,1.5,2.5,3.0,200,0.02,177.8025,740.07,-27.275,7.25,41.5175,294.445,-147.5775,1.8250000000000002,1.2599999999999998,27.634999999999998,4,96.62637499999998
30,84,14,1.0,1.0,2.5,3.0,100,0.025,12.2175,740.07,-14.999999999999998,3.5,71.6675,70.65,-78.51,0.4533333333333333,3.415,30.1475,2,96.452625
21,84,14,1.0,1.0,2.0,4.0,100,0.025,22.1975,740.07,-15.4325,3.75,75.0,73.0625,-83.13250000000001,0.5133333333333333,3.49,33.315,1,96.36600000000001
14,84,14,1.0,1.5,2.0,3.0,100,0.025,48.71,740.07,-13.48,5.0,50.832499999999996,155.70999999999998,-88.1875,1.4166666666666667,3.15,27.237499999999997,2,96.04574999999998
21,42,14,1.0,1.0,2.0,3.0,100,0.015,161.2175,784.2650000000001,-28.362499999999997,12.25,53.572500000000005,138.5325,-126.595,1.1099999999999999,1.3875,15.122499999999999,4,96.02674999999999
14,84,14,1.0,1.0,2.0,4.0,200,0.02,175.10000000000002,740.07,-28.17,7.25,51.785,190.54,-147.38,1.1675,1.245,11.319999999999999,4,95.93850000000002
14,42,14,0.8,1.0,2.0,3.0,100,0.025,159.1225,784.2650000000001,-15.912500000000001,7.25,64.655,95.56,-121.2,0.7725,1.4375,17.1975,3,95.7945
14,84,14,1.0,1.0,2.5,3.0,150,0.025,37.86,740.07,-15.21,4.75,62.2225,117.8475,-84.35499999999999,1.2566666666666666,3.205,20.115000000000002,2,95.7395
14,84,14,1.0,1.0,2.0,3.0,150,0.025,37.824999999999996,740.07,-15.247500000000002,4.75,62.2225,121.39500000000001,-84.21,1.1766666666666667,3.165,27.55,2,95.66862499999999
30,84,14,1.0,1.0,2.0,3.0,100,0.025,12.139999999999999,740.07,-14.999999999999998,3.5,71.6675,66.025,-78.51,0.44,3.38,25.73,2,95.2915
14,84,14,1.0,1.5,2.5,4.0,200,0.02,176.59,740.07,-28.259999999999998,7.25,41.5175,275.5375,-147.185,1.71,1.225,22.359999999999996,4,94.94800000000001
14,42,14,0.8,1.0,2.5,4.0,100,0.025,159.5025,784.2650000000001,-18.97,7.25,64.655,95.62,-121.2475,0.7675,1.4124999999999999,16.7975,3,94.890875
14,42,14,1.0,1.0,2.5,3.0,100,0.015,125.27000000000001,784.2650000000001,-29.009999999999998,11.0,58.75,139.495,-126.17500000000001,1.1275,1.6600000000000001,29.06,4,94.82200000000002
14,84,14,1.0,1.5,2.5,3.0,200,0.015,178.50999999999996,740.07,-28.9725,9.75,36.59,361.1175,-159.0825,1.9975,1.18,35.900000000000006,4,94.789625
21,84,14,1.0,1.0,2.5,3.0,150,0.025,13.57,740.07,-14.7525,3.75,71.875,82.2575,-79.125,0.6166666666666667,3.525,36.02,1,94.656625
42,55,14,1.0,1.5,2.0,4.0,200,0.02,43.115,1029.6299999999999,-13.4825,3.25,46.25,163.48000000000002,-87.07,1.1933333333333334,3.3724999999999996,40.595000000000006,1,94.515875
14,84,14,1.0,1.5,2.0,4.0,100,0.025,48.86,740.07,-15.379999999999999,5.0,50.832499999999996,145.475,-88.1875,1.2466666666666668,3.0975,24.4375,2,94.46825
42,55,14,1.0,1.5,2.0,3.0,200,0.02,43.0875,1029.6299999999999,-13.485000000000001,3.25,46.25,171.9475,-86.2075,1.3033333333333335,3.3575,40.65500000000001,1,94.214625
14,84,14,1.0,1.5,2.5,3.0,100,0.025,48.162499999999994,740.07,-12.5225,5.0,50.832499999999996,141.5725,-88.1875,1.4166666666666667,3.125,13.684999999999999,2,94.19725
14,42,14,0.8,1.0,2.0,4.0,100,0.025,159.34250000000003,784.2650000000001,-18.97,7.25,64.655,92.92750000000001,-121.2475,0.7474999999999999,1.38,15.209999999999999,3,94.042125
14,84,14,1.0,1.0,2.5,4.0,150,0.025,37.84,740.07,-17.1375,4.75,62.2225,102.6075,-84.35499999999999,1.0266666666666666,3.1375,15.7675,2,93.66062500000001
14,84,14,1.0,1.0,2.0,4.0,150,0.025,37.91,740.07,-17.16,4.75,62.2225,106.1575,-84.35499999999999,0.9466666666666667,3.0975,23.145000000000003,2,93.61250000000001
42,55,14,0.8,1.5,2.0,4.0,200,0.025,38.15,1029.6299999999999,-10.844999999999999,2.25,40.0,114.435,-61.715,1.24,3.4275,40.235,1,93.48425
21,84,14,1.0,1.0,2.0,3.0,150,0.025,13.459999999999999,740.07,-14.7525,3.75,71.875,76.6025,-79.125,0.59,3.475,30.9875,1,93.125875
14,84,14,1.0,1.5,2.0,3.0,200,0.02,176.155,740.07,-28.369999999999997,7.25,41.5175,265.33750000000003,-147.185,1.6324999999999998,1.1425,17.214999999999996,4,92.65825000000001
14,84,14,1.0,1.5,2.5,4.0,100,0.025,48.30749999999999,740.07,-15.27,5.0,50.832499999999996,131.22500000000002,-88.1875,1.25,3.075,10.827499999999997,2,92.53562500000001
42,55,14,1.0,1.5,2.5,4.0,200,0.02,43.015,1029.6299999999999,-14.51,3.25,46.25,163.47,-87.07,1.1500000000000001,3.28,40.3375,1,92.46099999999998
42,55,14,0.8,1.5,2.0,3.0,200,0.025,38.035000000000004,1029.6299999999999,-8.6425,2.25,40.0,112.89,-61.715,1.105,3.33,42.0725,1,92.019625
14,42,14,1.0,1.0,2.0,3.0,100,0.015,124.68,784.2650000000001,-29.150000000000002,11.0,58.75,130.135,-126.17500000000001,1.0525,1.5525000000000002,23.682499999999997,4,91.96575
14,84,14,1.0,1.5,2.0,4.0,200,0.02,175.9075,740.07,-28.4375,7.25,41.5175,252.15,-147.185,1.5675000000000001,1.13,13.35,4,91.94975
42,55,14,1.0,1.5,2.5,3.0,200,0.02,42.972500000000004,1029.6299999999999,-14.482500000000002,3.25,46.25,171.94,-87.07,1.2433333333333334,3.2475,40.0525,1,91.77600000000001
21,84,14,0.8,1.0,2.5,3.0,200,0.02,105.15,740.07,-28.125,5.75,51.75750000000001,218.2575,-135.7875,1.5525,1.965,49.457499999999996,3,91.66600000000001
21,84,14,1.0,1.0,2.5,4.0,150,0.025,13.504999999999999,740.07,-15.4325,3.75,71.875,78.9725,-79.125,0.5666666666666668,3.3925,33.35,1,91.62137499999999
21,42,14,0.8,1.0,2.5,3.0,200,0.02,147.15500000000003,784.2650000000001,-28.89,7.5,52.61749999999999,173.6175,-126.69,1.3225,1.505,32.2975,3,91.3085
21,42,14,1.0,1.0,2.5,4.0,100,0.02,147.8325,784.2650000000001,-26.534999999999997,10.5,53.89,124.2025,-120.66749999999999,1.0075,1.2974999999999999,13.597499999999998,4,91.06562500000001
21,42,14,0.8,1.5,2.0,4.0,100,0.025,180.5575,784.2650000000001,-17.080000000000002,8.0,35.95,159.3125,-146.28,1.2000000000000002,1.365,-14.449999999999998,3,90.622375
14,84,14,1.0,1.5,2.5,3.0,200,0.025,48.455000000000005,740.07,-12.86,3.75,47.6175,154.5925,-92.2025,1.12,3.17,24.7625,1,90.5845
14,84,14,1.0,1.5,2.0,3.0,150,0.025,37.2025,740.07,-14.335,4.75,49.442499999999995,146.815,-83.61500000000001,1.3800000000000001,3.0700000000000003,21.2925,2,90.56812500000001
42,55,14,0.8,1.5,2.5,4.0,200,0.025,37.852500000000006,1029.6299999999999,-9.217500000000001,2.25,40.0,105.41499999999999,-61.715,1.055,3.2925,35.8775,1,90.51825
14,84,14,1.0,1.5,2.5,3.0,150,0.025,37.105,740.07,-14.2,4.75,49.442499999999995,142.10000000000002,-83.61500000000001,1.4666666666666668,3.1075,12.334999999999999,2,90.41825
21,42,14,0.8,1.5,2.0,3.0,100,0.025,180.2225,784.2650000000001,-17.0675,8.0,35.95,157.82250000000002,-146.24,1.19,1.3525,-15.227499999999997,3,90.21275
21,42,14,0.8,1.5,2.5,3.0,100,0.02,180.8025,784.2650000000001,-29.3525,10.25,38.08,317.7675,-139.51,2.02,1.1275,-8.04,4,90.15975
14,84,14,0.8,1.0,2.5,3.0,200,0.015,280.1175,740.07,-35.6725,9.75,41.8175,486.14750000000004,-184.4925,2.04,1.4300000000000002,84.8525,4,90.12725
21,84,14,1.0,1.0,2.0,4.0,150,0.025,13.3925,740.07,-15.4325,3.75,71.875,73.32,-79.125,0.54,3.3425000000000002,28.317500000000003,1,90.09
21,42,14,0.8,1.0,2.5,3.0,100,0.015,253.0625,784.2650000000001,-31.4125,12.5,52.635000000000005,209.71,-139.565,1.5350000000000001,1.8175000000000001,43.6575,4,89.79649999999998
14,84,14,1.0,1.5,2.5,4.0,200,0.025,48.455,740.07,-14.96,3.75,47.6175,142.0775,-92.2025,1.01,3.1574999999999998,21.584999999999997,1,89.70174999999999
42,55,14,0.8,1.5,2.5,3.0,200,0.025,37.7625,1029.6299999999999,-6.9725,2.25,40.0,104.69999999999999,-61.715,0.935,3.2025,38.2125,1,89.266
14,84,14,1.0,1.5,2.0,3.0,200,0.025,48.3025,740.07,-12.9125,3.75,47.6175,143.35500000000002,-91.4375,1.0533333333333335,3.1375,18.455000000000005,1,89.25775
21,42,14,1.0,1.0,2.0,4.0,100,0.02,147.18749999999997,784.2650000000001,-26.619999999999997,10.5,53.89,116.945,-120.63499999999999,0.95,1.2249999999999999,9.802499999999998,4,89.062125
14,84,14,1.0,1.5,2.0,4.0,150,0.025,37.227500000000006,740.07,-16.2575,4.75,49.442499999999995,137.0375,-83.61500000000001,1.22,3.02,18.4925,2,89.006
14,84,14,1.0,1.5,2.5,4.0,150,0.025,37.1275,740.07,-16.134999999999998,4.75,49.442499999999995,132.3225,-83.6575,1.3066666666666666,3.0575,9.509999999999998,2,88.85112500000001
21,42,14,1.0,1.0,2.5,3.0,100,0.02,146.97,784.2650000000001,-25.012500000000003,10.5,53.89,115.64,-120.63499999999999,0.9425,1.21,8.685,4,88.837125
30,84,14,1.0,1.0,2.5,4.0,150,0.025,11.9925,740.07,-14.999999999999998,3.75,68.33500000000001,72.73750000000001,-79.56,0.4666666666666666,3.09,24.5625,2,88.671375
14,84,14,1.0,1.5,2.0,4.0,200,0.025,48.28,740.07,-15.0,3.75,47.6175,130.84,-92.2025,0.9333333333333332,3.115,14.9525,1,88.13875
30,84,14,1.0,1.0,2.0,4.0,150,0.025,11.915000000000001,740.07,-14.999999999999998,3.75,68.33500000000001,68.1125,-79.56,0.4566666666666667,3.0725,20.285,2,87.87424999999999
30,84,14,1.0,1.0,2.5,3.0,150,0.025,11.9075,740.07,-14.999999999999998,3.75,68.33500000000001,70.6575,-79.56,0.44333333333333336,3.055,23.177500000000002,2,87.811625
14,84,14,0.8,1.5,2.5,3.0,200,0.015,282.12000000000006,740.07,-36.05,9.75,31.1925,600.005,-185.425,2.7125,1.3425,94.36500000000001,4,87.64750000000002
30,84,14,1.0,1.0,2.0,3.0,150,0.025,11.8325,740.07,-14.999999999999998,3.75,68.33500000000001,66.035,-79.56,0.43333333333333335,3.0375,18.9,2,87.015125
