side,signal_bar_date,entry_date,exit_date,entry_price,initial_stop,final_stop,tp1_price,tp2_price,tp3_price,shares_total,tp_hits,exit_reason,gross_pnl,total_fees,net_pnl,holding_days
long,2021-01-07,2021-01-08,2021-01-12,13.3625,12.9768,13.3625,13.7482,14.3267,14.5195,259,1,stop,33.5525,3.4777,30.0748,4
short,2022-08-17,2022-08-18,2022-08-29,18.301,19.1255,17.4765,17.4765,16.2398,15.8275,121,3,tp_complete,215.1945,2.1068,213.0877,11
long,2023-10-02,2023-10-03,2023-10-03,44.808,43.4404,43.4404,46.1756,48.2269,48.9107,91,0,stop,-124.449,4.0153,-128.4643,0
long,2024-07-31,2024-08-01,2024-08-01,117.53,110.7479,110.7479,124.3121,134.4853,137.8764,18,0,stop,-122.0785,2.0545,-124.133,0
long,2024-09-11,2024-09-12,2024-10-01,116.84,109.9757,116.84,123.7043,134.0007,137.4329,17,1,stop,41.1857,2.0069,39.1788,19
long,2025-01-15,2025-01-16,2025-01-27,138.64,132.6229,138.64,144.6571,153.6829,156.6914,20,1,stop,42.12,2.7939,39.3262,11
long,2025-11-14,2025-11-17,2025-11-21,185.97,176.9879,185.97,194.9521,208.4254,212.9164,13,1,stop,44.9107,2.4401,42.4706,4
