Date,cash,open_value,equity_curve,buy_and_hold_value,rolling_max,drawdown_pct
2020-05-01,10000.0,0.0,10000.0,10000.0,10000.0,0.0
2020-05-04,10000.0,0.0,10000.0,10141.48809057535,10000.0,0.0
2020-05-05,10000.0,0.0,10000.0,10293.700142500522,10000.0,0.0
2020-05-06,10000.0,0.0,10000.0,10399.903043058637,10000.0,0.0
2020-05-07,10000.0,0.0,10000.0,10507.488931347434,10000.0,0.0
2020-05-08,10000.0,0.0,10000.0,10728.543156501637,10000.0,0.0
2020-05-11,10000.0,0.0,10000.0,10897.360562637416,10000.0,0.0
2020-05-12,10000.0,0.0,10000.0,10772.823045347428,10000.0,0.0
2020-05-13,10000.0,0.0,10000.0,10642.75040998724,10000.0,0.0
2020-05-14,10000.0,0.0,10000.0,10708.133002457918,10000.0,0.0
2020-05-15,10000.0,0.0,10000.0,10644.825947299089,10000.0,0.0
2020-05-18,10000.0,0.0,10000.0,10895.630244400325,10000.0,0.0
2020-05-19,10000.0,0.0,10000.0,10832.670519747904,10000.0,0.0
2020-05-20,10000.0,0.0,10000.0,11043.346002627044,10000.0,0.0
2020-05-21,10000.0,0.0,10000.0,10961.012836871003,10000.0,0.0
2020-05-22,10000.0,0.0,10000.0,11031.584272621298,10000.0,0.0
2020-05-26,10000.0,0.0,10000.0,10956.861762247307,10000.0,0.0
2020-05-27,10000.0,0.0,10000.0,11004.60017613563,10000.0,0.0
2020-05-28,10000.0,0.0,10000.0,11009.44380034049,10000.0,0.0
2020-05-29,10000.0,0.0,10000.0,10998.719838990668,10000.0,0.0
2020-06-01,10000.0,0.0,10000.0,11133.981317630476,10000.0,0.0
2020-06-02,10000.0,0.0,10000.0,11185.525587067736,10000.0,0.0
2020-06-03,10000.0,0.0,10000.0,11247.102323989475,10000.0,0.0
2020-06-04,10000.0,0.0,10000.0,11150.240397050498,10000.0,0.0
2020-06-05,10000.0,0.0,10000.0,11467.810274353094,10000.0,0.0
2020-06-08,10000.0,0.0,10000.0,11535.613623210376,10000.0,0.0
2020-06-09,10000.0,0.0,10000.0,11899.885201461195,10000.0,0.0
2020-06-10,10000.0,0.0,10000.0,12206.039623548628,10000.0,0.0
2020-06-11,10000.0,0.0,10000.0,11620.022326278266,10000.0,0.0
2020-06-12,10000.0,0.0,10000.0,11720.343833975596,10000.0,0.0
2020-06-15,10000.0,0.0,10000.0,11865.2915053093,10000.0,0.0
2020-06-16,10000.0,0.0,10000.0,12179.748076644124,10000.0,0.0
