Date,cash,open_value,equity_curve,buy_and_hold_value,rolling_max,drawdown_pct
2020-05-01,10000.0,0.0,10000.0,10000.0,10000.0,0.0
2020-05-04,10000.0,0.0,10000.0,10244.600380049333,10000.0,0.0
2020-05-05,10000.0,0.0,10000.0,10354.584803970414,10000.0,0.0
2020-05-06,10000.0,0.0,10000.0,10456.549557628869,10000.0,0.0
2020-05-07,10000.0,0.0,10000.0,10517.27091713561,10000.0,0.0
2020-05-08,10000.0,0.0,10000.0,10579.136445402433,10000.0,0.0
2020-05-11,10000.0,0.0,10000.0,10697.141413664644,10000.0,0.0
2020-05-12,10000.0,0.0,10000.0,10454.831119292485,10000.0,0.0
2020-05-13,10000.0,0.0,10000.0,10296.728673795651,10000.0,0.0
2020-05-14,10000.0,0.0,10000.0,10341.409818698636,10000.0,0.0
2020-05-15,10000.0,0.0,10000.0,10492.065989430643,10000.0,0.0
2020-05-18,10000.0,0.0,10000.0,10592.312304752713,10000.0,0.0
2020-05-19,10000.0,0.0,10000.0,10518.989355471993,10000.0,0.0
2020-05-20,10000.0,0.0,10000.0,10635.275011319316,10000.0,0.0
2020-05-21,10000.0,0.0,10000.0,10507.531934458097,10000.0,0.0
2020-05-22,10000.0,0.0,10000.0,10512.114728047954,10000.0,0.0
2020-05-26,10000.0,0.0,10000.0,10400.985261288286,10000.0,0.0
2020-05-27,10000.0,0.0,10000.0,10414.732767979358,10000.0,0.0
2020-05-28,10000.0,0.0,10000.0,10391.246278610774,10000.0,0.0
2020-05-29,10000.0,0.0,10000.0,10497.221304439794,10000.0,0.0
2020-06-01,10000.0,0.0,10000.0,10473.162293651918,10000.0,0.0
2020-06-02,10000.0,0.0,10000.0,10592.312304752713,10000.0,0.0
2020-06-03,10000.0,0.0,10000.0,10618.089753876975,10000.0,0.0
2020-06-04,10000.0,0.0,10000.0,10478.31760866107,10000.0,0.0
2020-06-05,10000.0,0.0,10000.0,10723.491384208199,10000.0,0.0
2020-06-08,10000.0,0.0,10000.0,10789.940580143384,10000.0,0.0
2020-06-09,10000.0,0.0,10000.0,10872.42911660382,10000.0,0.0
2020-06-10,10000.0,0.0,10000.0,11275.705337647785,10000.0,0.0
2020-06-11,10000.0,0.0,10000.0,10670.218047623293,10000.0,0.0
2020-06-12,10000.0,0.0,10000.0,10754.425022420113,10000.0,0.0
2020-06-15,10000.0,0.0,10000.0,10823.165178110976,10000.0,0.0
2020-06-16,10000.0,0.0,10000.0,11088.38856635392,10000.0,0.0
2020-06-17,10000.0,0.0,10000.0,11126.768479330665,10000.0,0.0
2020-06-18,10000.0,0.0,10000.0,11245.918490431462,10000.0,0.0
2020-06-19,10000.0,0.0,10000.0,11178.89589899848,10000.0,0.0
2020-06-22,10000.0,0.0,10000.0,11489.373827642208,10000.0,0.0
2020-06-23,10000.0,0.0,10000.0,11566.133653595696,10000.0,0.0
2020-06-24,10000.0,0.0,10000.0,11332.988946403253,10000.0,0.0
2020-06-25,10000.0,0.0,10000.0,11476.197968291928,10000.0,0.0
2020-06-26,10000.0,0.0,10000.0,11246.491011850756,10000.0,0.0
2020-06-29,10000.0,0.0,10000.0,11367.359461287937,10000.0,0.0
2020-06-30,10000.0,0.0,10000.0,11657.786903157346,10000.0,0.0
2020-07-01,10000.0,0.0,10000.0,11725.954537428916,10000.0,0.0
2020-07-02,10000.0,0.0,10000.0,11815.316827234887,10000.0,0.0
2020-07-06,10000.0,0.0,10000.0,12069.656189961732,10000.0,0.0
2020-07-07,10000.0,0.0,10000.0,11929.311523326533,10000.0,0.0
2020-07-08,10000.0,0.0,10000.0,12191.670556316003,10000.0,0.0
2020-07-09,10000.0,0.0,10000.0,12277.023448029913,10000.0,0.0
2020-07-10,10000.0,0.0,10000.0,12239.788577891757,10000.0,0.0
2020-07-13,10000.0,0.0,10000.0,11861.71728455276,10000.0,0.0
2020-07-14,10000.0,0.0,10000.0,11935.04023383348,10000.0,0.0
2020-07-15,10000.0,0.0,10000.0,11917.281580893343,10000.0,0.0
2020-07-16,10000.0,0.0,10000.0,11681.273392525929,10000.0,0.0
2020-07-17,10000.0,0.0,10000.0,11621.698824014782,10000.0,0.0
2020-07-20,10000.0,0.0,10000.0,12121.211962288757,10000.0,0.0
2020-07-21,10000.0,0.0,10000.0,11957.953327704266,10000.0,0.0
2020-07-22,10000.0,0.0,10000.0,12129.804153970676,10000.0,0.0
2020-07-23,10000.0,0.0,10000.0,11602.22173273826,10000.0,0.0
2020-07-24,10000.0,0.0,10000.0,11531.19061729172,10000.0,0.0
2020-07-27,10000.0,0.0,10000.0,11677.263994433868,10000.0,0.0
2020-07-28,10000.0,0.0,10000.0,11572.434885521938,10000.0,0.0
2020-07-29,10000.0,0.0,10000.0,11689.293062788554,10000.0,0.0
2020-07-30,10000.0,0.0,10000.0,11680.127475608839,10000.0,0.0
2020-07-31,10000.0,0.0,10000.0,11743.71231629055,10000.0,0.0
2020-08-03,10000.0,0.0,10000.0,12404.192255314834,10000.0,0.0
2020-08-04,10000.0,0.0,10000.0,12218.020526859558,10000.0,0.0
2020-08-05,10000.0,0.0,10000.0,12197.971788242245,10000.0,0.0
2020-08-06,10000.0,0.0,10000.0,12393.309103877236,10000.0,0.0
2020-08-07,10000.0,0.0,10000.0,12171.620943620188,10000.0,0.0
2020-08-10,10000.0,0.0,10000.0,11929.311523326533,10000.0,0.0
2020-08-11,10000.0,0.0,10000.0,11650.340628392516,10000.0,0.0
2020-08-12,10000.0,0.0,10000.0,11983.158255409235,10000.0,0.0
2020-08-13,10000.0,0.0,10000.0,11955.088972450792,10000.0,0.0
2020-08-14,10000.0,0.0,10000.0,11966.545519386187,10000.0,0.0
2020-08-17,10000.0,0.0,10000.0,12045.597179173856,10000.0,0.0
2020-08-18,10000.0,0.0,10000.0,12114.910730362515,10000.0,0.0
2020-08-19,10000.0,0.0,10000.0,12012.372581206262,10000.0,0.0
2020-08-20,10000.0,0.0,10000.0,12291.916871638075,10000.0,0.0
2020-08-21,10000.0,0.0,10000.0,12202.554581832102,10000.0,0.0
2020-08-24,10000.0,0.0,10000.0,12240.934494808847,10000.0,0.0
2020-08-25,10000.0,0.0,10000.0,12400.182857222773,10000.0,0.0
